"date","username","comment","rating","sentiment"
"7/23/2022","ria_nw","Sunscreen paling kalem di wajahku yang acne prone dan berminyak. Gak bikin komedoan dan gak minyakan, cepet nyerap. Sukak","5","Neutral"
"8/29/2022","a*****3","kental, bagus poll, oily acne prone skin, Sunscreen kecintaan poll udh habis banyak, emang paling nyaman, nahan minyak dari pagi sampe sore. Pengiriman cepat, seller ramah, packing aman di kasi bubble wrap tebel.","5","Positive"
"8/27/2022","d*****1","bagus, Cocok Untuk all skin types, Pengiriman cepat pake bubble wrap juga.. Cuman isinya sedikit banget menurutku wkwk entah aku yg pakenya boros juga kali yaaaa... Padahal 2 jari aja lohh to 1 tube paling lama kepake 1bulan aja","5","Positive"
"3/6/2022","a*****a","cepat menyerap, Efektivitas sangat baik, Produk sampai sesuai pesanan dengan cepat dan aman. Packaging pake box. Exp msh lama. Kualitas produk sangat baikk.. ga pernah ganti sunscreen sejak pake azarine","5","Positive"
"11/17/2022","haninathan","Cepat menyerap, Cocok Untuk Segala jenis kulit, Barang sesuai. Respond admin cepat dan ramah. Produk asli. Exp date jauh","5","Positive"
"6/27/2022","elzarahma_","Cocok Untuk wajah, Performa baik, Kualitas produk sangat baik. Harga produk sangat baik. Kecepatan pengiriman sangat baik. Semua baik, bahkan orang jahatpun aslinya baik, hanya saja mungkin lingkungan dan kondisilah yg merubah mereka menjadi tidak baik...","5","Positive"
"9/10/2022","r*****7","Performa Bagus Cocok Untuk Kulit kombinasi cenderung kering, Wah ini udah pembelian ketiga dan emang secocok ini sama sunscreen ini. Dia tuh gampang diblend dan nggak ngeblock sama sekali, yang paling enak dia dingin di kulit dan gak whitecast. Pas kena keringat pun dia gak luntur sama sekali. Pake sunscreen ini ditimpa bedak aja udah mantul banget.","5","Positive"
"8/30/2022","f*****l","Cocok Untuk semua jenis kulit, Performa bagus, Barangnya sudah sampai, packing aman, pengiriman cepat, barang ori.. luv bgt sama azarine","5","Positive"
"2/28/2022","gmonikan","Efektivitas oke, Daya serap Lumayan cepet, Baru pertama pake, terus enak enak aja sih ini kalo dari teksturnnya, karena cepet nyerep. Sekali beli langsung 3 hehe karena emang semua org dirumah mau cobain ini juga","5","Neutral"
"2/7/2022","r*****3","Daya serap cepat, Tekstur gel ringan, Tidak ada bau aneh yang ditimbulkan seperti bau checmical. Tekstur produk ringan, mudah menyerap dan tidak lengket.Â Cukup memberi kelembapan dan tidak membuat wajah berminyak di wajahku yang oily. Pokonya suka. Pengiriman juga cepat","5","Positive"
"12/20/2022","a*****a","cream ringan, bagus, wajar, Sudah pakek sunblock ini banyak kali dan kali ini dapet diskon di 12.12 sunblock buat wajah terfavorite!","5","Positive"
"2/4/2023","j*****l","ringan, tidak lengket, bagus, sunscreen, Pembelian yang kesekian kali. Bagus banget ringan tektus nya. Cepat kering juga.","5","Positive"
"9/4/2022","ara5838","baru mencoba, Cocok Untuk kulit berminyak dan berjerawat, Pengiriman cepat, packing aman, bubble wrap tebal.
Baru mencoba, semoga cocok.","5","Neutral"
"10/13/2022","j*****e","Paketnya datengnya cepet, aman, dan sesuai pesanan seperti biasa. Packingan ny aman, ga ada yg cacat dsb, makasiii","5","Positive"
"4/12/2022","a*****i","mantap dah bagus meskipun pengiriman lama keknya overload gegara diskonan deh jd banyK yg beli tapi gapapa yg penting beli di official store jd jelas barangnya asli","5","Positive"
"12/6/2022","r*****_","Tekstur Light, Ringan, Water, Performa Baik, Cocok Untuk All Skin Type, So far, azarine hydrasoothe sunscreen gel ini yg paling cocok buat aku. Mostly sunscreen itu ada whitecase, bikin kusam dan di bbrp kulit jdi perih. Azarine ini tuh bagus banget, ga kaya SS lainnya yg ku bilang itu. Dan ada Blue Light Protections dari Smartphone, Laptop or something else yang ga kalah ngerusak kulitnya. 9/10 love.","5","Positive"
"2/12/2022","n*****a","Tekstur ringan, semoga cocok, Efektivitas bagus, Produk original, pengiriman cepat,semoga cocok di aku ya, sukses terus azarine!","5","Positive"
"11/1/2022","h*****d","light weights, Performa juaraaa, Cocok Untuk dry sensitive skin, Pengiriman aman dan  cepat. Rekomended bgt pokoknya 100/100 nilainya
Untk acne prone jg oke bgt. Barang original.  Harga promo. Semoga selalu ready yaa disini. Expired msh lama. Barang original","5","Positive"
"11/4/2022","a*****_","Tekstur baik, Performa baik, Cocok Untuk semua jenis kulit, Sangat suka, dku beli yg spf 45 skrng mau coba yg 50 hihi suka bngt lah pokonya mudah di blend","5","Positive"
"3/23/2022","777innnyyytgbgb4j","Barang nya sudah sampe hanya menunggu 3hari, packingan nya juga aman sekali d lapisin sama kardus, mudah mudahan aman ya pake ini supaya kulit terawat dari sinar matahari.
Terima kasih seller","5","Positive"
"2/8/2022","r*****a","Tekstur enak, Daya serap bagus, Efektivitas baik, sunscreeennnya bagusss banget, tidak lengket tidak ada white cast dan tidak bikin greasy yg keliatan kusam gt, terimakasih dapat bonus serumnyaaa","5","Neutral"
"10/31/2021","n*****4","Daya Serap cepat menyerap, Tekstur gel, Efektivitas juarak bgt, ga belang sama sekali kalo pake ini, Pembelian kedua kali, dan langsung beli yg bundling hihi, karna emang udah senyaman itu sama sunscreen ini, dan kayanya cuma ini sunscreen yg bertekstur gel dan ringan bgt buat yg tipe kulitnya berminyak","5","Positive"
"1/4/2023","n*****q","Tekstur gel, Performa bagus, Cocok Untuk kulit kombinasi, Pengiriman aga lama butuh 2 hari, pengemasan sesuai jam kerja nya cepat, sunscreen favorit","5","Positive"
"8/22/2022","m*****7","Tekstur watery gel, Performa melindungi kulit dari sinar UV, blue light dan no whitecast, no kusam. Cocok Untuk semua jenis kulit. Udah repurchase yang kesekian kalinya karna sebagus dan secocok itu di wajah aku, sampai titik darah penghabisan pakainya di belah tubenya­, Tolong azarine buat versi bigsize nya dong biar gak cepat abis dan irit dikit
But overall good","5","Positive"
"11/14/2021","m*****e","Respon penjual cepat sehingga barang cepat sampai, packaging aman, kualitas barang baik, lengkap dan original, expired date masih lama, harga bersaing. Recommended seller","5","Positive"
"3/31/2022","kukuhsujana94","Tekstur lembut dan nyaman dipakai, cepat menyerap, Efektivitas cukup melindungi dan cocok, Untuk kulit aku yang kombinasi cocok2 aja, dan ga bikin jerawatan. Cepat nyerap dan ga terlalu bikin berminyak. So far so good.","5","Positive"
"12/2/2022","fitsanded","Performa bagus, Cocok Untuk wajah berminyak, Tekstur gel, Saya cocok sunscreen ini, adem di wajah, ga bikin wajah berminyak, ga bikin beruntusan. 
Pengiriman juga cepat, thanks seller.","5","Positive"
"1/6/2023","t*****a","enak, mantulita ga bikin minyakan, Cocok Untuk kulit kombinasi, sunscreen azarine emang the best bgt si. di kukit kombinasi kering dan minyakan cocok bgt. karena dia kek nahan minyak sehingga ga bikin muka kita terlihat kusam. tpi jg ga bikin muka kita terlihat kering. pas make sunscreennya rasa ga pake apa apa. love you azarine. trs pqckingan paketnya jg aman. apalagi azarine ini tersegel sblm kita gunain jdi bakal aman bgt selama masa pengiriman.","5","Positive"
"12/27/2022","f*****d","Tekstur sedikit kental, Performa bagus, Cocok Untuk digunakan sehari-hari, Ini purchase yg ketiga, tube keempat dan kelima. Suka bgt sama sunscreen Azarine, gak overclaim karena hasilnya ada banget. Wajah jadi lebih bersih, dipakenya adem dan nggak lengket. Satu tube buat aku bisa buat sebulanan, kalau ada versi 100mL seriusan aku mauu hehe","5","Positive"
"11/20/2021","k*****i","Daya Serap baik, Tekstur lembut, efektif, Menyenangkan memakainya. Mudah menyerap, tidak lengket, Cukup efektif sebagai sunscreen. Harga utk 2 produk cukup murah. Pengiriman cepat.","5","Positive"
"10/14/2022","ajeng20792","Cocok Untuk semua jenis kulit, Tekstur kental, Performa baik, Pengiriman lumayan cepat, produk bagus cepat meresap, tidak berminyak, packing bagus aman, harga lqgi diskon, dapat hadiah","4","Positive"
"8/8/2022","n*****5","Tekstur gel watery, mantuuulllllll, melindungi kulit wajah dari paparan sinar UV. Masih jadi terfavorit bangettttttt.. buat st ku yang oily, ini enak banget dipakenya. Ga sumuk, ga bikin kusem, cepat meresap. Sampe nyetok pokoknya","5","Positive"
"11/18/2021","aisyiah279","Daya Serap oke, Tekstur cair, Efektivitas oke, Azarin produknya ringan dikulit dan cocok untuk kulit sensitif, kandungannya juga bagus dan mudah menyerap di kulit. Sudah beberapa kali order produk azarine namun perlu di perhatikan untuk safety packing nya setidaknya di beri bubble wrap selembar atau di isolasi tutup produknya agar tidak tumpah.","5","Positive"
"10/20/2022","ismawati2409","Performa baik, Cocok Untuk all skin, Tekstur gel, Pertama kali nyoba sunscreen ini, Alhamdulillah langsung cocok cepat menyerap, gak perih, nyaman ringan 
insyaAlloh order lagi. Thank azarine and shopee","5","Positive"
"1/8/2023","a*****a","Tekstur gel, good, Cocok Untuk semua jenis kulit, ini cocok bgt di kulit oily sensitif ku, gabikin perih di kulit atau mata dan gabikin jerawatan, gel nya jg mudah di apply dan sebar trs adem cepet kering jg best sunscreennn","5","Positive"
"3/6/2022","dienardhia","gel, the best, spf45, buat pemilik super duper mega oily skin ini holy grail banget si asli, cepet nyerap, dah gitu gak berat gitu di muka ga bikin makin oily dan finish nya langsung matte gitu selalu stock gaboleh sampe kehabisan","5","Neutral"
"5/28/2022","v*****e","Tekstur gel, Daya serap lumayan cepet, baguss, intinyaa mahh baguss Dan sejauh ini dimuka ku sama adekku cocok2 ajaa. bli yg twin pack biar punya sendiri2. makasii seller","5","Neutral"
"11/23/2022","v*****e","Tekstur gel, Performa bagus, Cocok Untuk di aku (st oily) cocok, pengiriman nyaa gilak cepet banged. sejauh ini dikulitku cocok2 ajaa. thank youu<33","5","Positive"
"12/3/2022","vitalovacaca","jel, baik, Cocok Untuk wajah, Alhamdulillah barangnya di kemas dengan baik , responya cepat, asli","5","Positive"
"4/28/2022","r*****1","Tekstur seperti cream muka pada umumnya, cepat meresap ke kulit, bagus bgt, bagus bgt yaa produk satu ini, bisa untuk segala tipe kulit termasuk yang berjerawat, ga perih juga pas dipake, harga nya juga oke bgt, baguss deh...","5","Positive"
"3/22/2022","d*****a","Tekstur Oke banget, Daya serap Cepet, Bagus, Ini kemasannya beda lagi ya? Yang baru beli yang kiri. Nyoba ini pertama kali dah langsung cinta banget akhirnya beli lagi","5","Neutral"
"12/20/2021","f*****r","ok Barang sesuai pesanan.. Belum sempat coba.. Mudah mudahan cocok.. Lihat review di youtube sih katanya rekomend..Terima kasih..","5","Positive"
"1/12/2023","tugekdiahh","baik, cepat menyerap, Cocok Untuk wajah sensitif","5","Positive"
"12/19/2022","a*****y","Gel transparan, sukak finishnya yg matte, Cocok Untuk mungkin kulit berminyak, tp aku yg kulit kombinasi malah sukak pake ini drpd yg kuning, Sebenernya sukak sunscreen ini krn finishnya yg gk bikin kulitku kilap(kyk orang gk mandi seminggu), krn tipe orang yg males bedakan,","5","Positive"
"8/3/2022","g*****n","Sudah sampai akhirnyaaa. Packaging aman, exp datenya juga masih lama banget. Lumayan sih buat twin pack harganya hehehe. Thankyouuuu yaaaaa!!!","5","Neutral"
"4/2/2022","dolymontana","nice, Tekstur bagus, Daya serap cepat, Tapi saya kecewa apa karena beli twin jadi isinya kayak gak sampe 50 ml pas dibuka segelnya isi nya banyak angin bgtu di pencet langsung abis separoh gt hemmm","3","Negative"
"8/31/2022","a*****6","gel, Performa bagus, Cocok Untuk kuliit kombinasi, Barang sudah sampe dengan aman, sunscreen terbaik buat kalian yang punya masalah kulit berminyak, berjerawat ahh luvv","5","Positive"
"4/21/2022","c*****i","Kualitas produk baik. Produk original. Cepat menyerap dan tidak whitecast.","5","Positive"
"8/1/2022","septianiopop","Tekstur gel, Performa okee, Cocok Untuk jerawat, Aku dah berulang kali pakai ini dan emang bagus banget hasil nya matte jadi ga minyakan gitu","5","Positive"
"9/15/2022","rinariawidyastuti","gel, bagus, Cocok Untuk semua jenis kulit, Baru mau coba hydrasoothe sunscreen gel dari azarine ini mudah mudah cocok dikulit muka aku","5","Positive"
"10/27/2021","i*****a","Daya Serap cepat, Tekstur cream, bagus, Terimakasih kak, sunscreennya dah dateng. Packingnya aman, ini udah repurchase 2 kali dan cocok ternyata hehe","5","Positive"
"3/28/2022","k*****3","Gel, Daya serap Mantap, Efektivitas Ok, Pesanan baru nyampe... Pengemasan dan pengiriman cepat... Cocok pake sunscreen ini... Anak gadisku juga pake... Banyakin promo nya ya... Terimakasih","5","Positive"
"5/10/2022","rofifatulh9","good, Produk bagus, original, datang cepat, tidak ada yang rusak/ cacat. Good job seller, good job ekspedisi.","5","Neutral"
"7/9/2022","bagas_vernanda","Tekstur watery, Performa baik, Cocok Untuk acne prone, Gak pernah kecewa sama produk ini. Nice","5","Neutral"
"12/20/2022","t*****u","Cocok Untuk wajah, Tekstur creamy, Performa oke, Akhirnya sampai juga setelah lebih dari seminggu mungkin karna habis 12 12 tp gak papa,sunscreen nya oke banget cocok diwajahku,terima kasih","5","Positive"
"12/19/2021","s*****r","kental agak cair, Daya serap sangat cepat, efektif, Tekaturnya enak, mudah menyerap dan ga bikin muka kusam","5","Positive"
"4/10/2022","a*****j","ringan, Daya serap cepat, bagus, Pengemasan dan pengiriman standar. Produknya bagus, tekstur nya sangat ringan dan mudah menyerap, ga bikin berminyak juga","5","Positive"
"11/7/2022","l*****7","baik, cocok untuk sehari-hari, tekstur gel ringan, sehingga mudah menyerap dan tidak meninggalkan whitecast pada kulit","4","Positive"
"2/6/2022","r*****a","Tekstur Gel, Daya serap Fast, Good, cooling, Nyesel banget kemaren maju mundur buat beli ini, ternyata bagus banget. Texture nya gel cocok buat kulit oily kaya aku, ada sensasi cooling waktu di pake, dan ringan juga.","5","Positive"
"1/4/2023","lutfirahma_","Tekstur Agak kental tapi ga kental banget, Cepat meresap, Cocok Untuk Semua jenis kulit, Udah repeat dah pake azarine sunscreen emang sebagus itu dikulit aku","5","Positive"
"12/16/2021","dindamranda","okee, cepat meresap, bagus bangeeet, Barang sampai dgn aman, pembelian kedua. Cocok banget di mukaaa","5","Positive"
"9/25/2022","l3k7r3e3p8","bagus, gak berminyak dan gak kusam, Cocok Untuk utk kulit berminyak, lembur, mudah diaplikasikan, Kl utk saya, enak di pakai gak berminyak dan kusam. Baunya gak tajam dan tdk ada Whitecast.","5","Negative"
"3/2/2022","a*****1","Terima kasih suncreen nya sudah datang. Produk original udah di scan barcode & cek Bpom nya tembuh semua. Tekturenya mudah meresap cocok buat di kulit yg sensitif dan jerawatan","5","Positive"
"11/15/2021","scl3star1","cepat di serap ke kulit, lembut, mudah di aplikasikan, Gak nyesel milih produk sunscreen azarine soalnya aku punya masalah kulit berminyak parah plus sensitif, azarine lah solusinya karna memiliki sunscreen free oil, silicone free dan alcohol free, jadi bagus buat kulit ku yang berminyak sekaligus sensitif, terima kasih....","5","Positive"
"3/2/2022","zie_queen69","Packing aman pke dus.... sesuai pesanan... suka Ss nya klu dipake adem dimuka cepat meresap. 
Nyoba toner nya krna hbs lihat di youtub semoga cocok.","5","Positive"
"10/28/2021","shinta_nvt","Cepat meresap, Tekstur Gel, Muantap bat dah, Repeat order entah yang ke berapa, karena emang beneran bagussss, cocok di semua kulit, dan sangat melindungi wajah dari paparan sinar matahari","5","Positive"
"1/8/2023","t*****a","Barang datang sesuai pesanan, packing rapi dan aman. Free kardus. Expired date masih lama Desember 2025. Barang original terdaftar BPOM.","5","Positive"
"1/8/2022","apriliaharjani","Tekstur Gel, lembut, Cepat menyerap, bagus, Packagingnya aman, pengirimannya juga termasuk cepat banget. Produknya juga bagus","5","Positive"
"7/3/2022","dellaadha43","Tekstur gelly, protection skin, Cocok Untuk normal skin, over all ini super duper nyaman banget ketika di apply di kulit. dan cocok banget untuk re-apply lagi karna memang senyaman itu. dia bener-bener langsung meresap di kulit. untuk pengirimannya juga cepat dan samgat membantu aku waktu itu butuh banget hihi. makasih ya seller","5","Positive"
"8/6/2023","n*****d","Kemasan tube, usia udh msk kepala 4,jd butuh perlindungan extra dr sinar matahari.. untuk melindungi kulit dari sinar matahari. udh ga tau pembelian yg keberapa,suka sm sunscreen azarine,ga perih di kulit,ga cekat cekit, teksturnya cair gampang di blend,dingin di kulit,dan ga whitecast.. cocok banget pke produk dr azarine, udh ga pernah gantiÂ² sunscreen lg,packing rapi, jd paket smp dengan aman,thanks shopee thanks seller,btw pengiriman agak lama,mngkn krn jaraknya jauh ya,tp overall its ok","5","Positive"
"3/18/2022","clarissadyann","Daya serap cepet, aku sempet beli sekali dan enak dan in pemebelian ke-2, Tekstur ringan banget, Recommended bgt si soalnya ringan bgt kek ga pake sunscreen kek pake moisturizer doang terus uda bnyk yg review katanya bagus pengirimannya juga cepet semua nya aman","5","Positive"
"10/17/2023","nurrkhlfhh","Produk bagus, pengiriman cepat. Puas belanja!
Harga terjangkau, kualitas oke. Rekomendasi!
Pelayanan ramah dan cepat, barang sesuai harapan.
Paket sampai dengan baik, tidak ada masalah.
Transaksi mudah, pengiriman tepat waktu.
Pelayanan pelanggan responsif, puas dengan pembelian!
Produk asli, kualitas terjamin, harga terjangkau
Harga terbaik, barang berkualitas, rekomendasi!
Paket sampai tepat waktu, barang dalam kondisi baik
Diskon menarik, belanja puas, pengiriman cepat!
Barang berkualitas, pengiriman super cepat!
Diskon besar, harga terjangkau, puas belanja!
Produk sesuai gambar, pelayanan memuaskan!
Paket sampai dengan baik, puas dengan pembelian!
Transaksi mudah, pengiriman tepat waktu!
Pelayanan pelanggan ramah, responsif, puas!
Produk asli, kualitas terjamin, harga terbaik!
Harga terjangkau, barang berkualitas, rekomendasi!
Paket sampai tepat waktu, kondisi barang bagus!
Diskon menarik, belanja puas, pengiriman cepat!
Layanan penjual pelanggan cepat dan responsif!
Produk sesuai gambar, sangat puas sekali!
Harga terjangkau, kualitas pastinya luar biasa!
Paket sampai tepat waktu, pengiriman terpercaya.
Promo menarik, ada diskon besar-besaran!
Barang datang dengan aman dan lengkap.
Transaksi mudah, pembayaran praktis.
Rekomendasi! Shopee tempat belanja terbaik.
Produk berkualitas tinggi, worth the price.
Pilihan produk lengkap, banyak varian dan motif.
Pengiriman cepat dan produk berkualitas!
Barang sesuai deskripsi, puas dengan pembelian ini.
Diskon besar-besaran, hemat uang banyak!
Pelayanan pelanggan yang ramah dan responsif.
Harga terjangkau, barang bagus. Puas banget!
Paket sampai dengan aman dan dalam kondisi baik.
Proses pembelian yang mudah, cepat dan praktis.
Produk asli dan original, dijamin tidak ada kecewa.
Banyak pilihan produk, bisa belanja lengkap di sini.
Rekomendasi! Belanja di Shopee memuaskan.
Barang bagus, pengiriman cepat! Puas belanja.
Harga terjangkau, kualitas memuaskan. Rekomendasi!
Pelayanan ramah, barang sesuai harapan. Puas!
Paket sampai baik, tanpa masalah. Terima kasih!
Pengemasan dan pengiriman paket tepat waktu. Keren!
Pelayanan pelanggan responsif, puas dengan pembelian!
Produk asli, kualitas terjamin, harga terbaik!
Harga terjangkau, barang berkualitas. Puas belanja!
Paket sampai tepat waktu, barang bagus. Terima kasih!
Diskon menarik, belanja puas, pengiriman cepat!""","5","Positive"
"4/22/2022","s*****i","cepat menyerap, baik, Tekstur gel, Selalu suka sama sunscreen azarine, dpt harga promo seneng bgt btw kemasannya baru, ingredientnya ada yg beda kek propolis, pomegrante, trus niacinemidenya gaada jd Resveratrol, ini gatau cuman namanya aja yg beda apa emng diubah. Tapi rasanya kek sama aja wkwk. Oiya packaging jg gpake kotak..","5","Positive"
"1/16/2023","n*****h","gel, ok, Cocok Untuk wajah, Alhamdulillah paketnya sudah sampai sesuai dengan pesanan pengemasan bagus produk original dan pengiriman cepat, terimakasih banyak","5","Positive"
